Definitions:
 
The logarithm of the Rosseland mean opacity [cm**2/g] as a function
of log(T) for columns of constant log(R), where
 
    R=density[g/cm**3]/T6**3, T6=1.e-6*T[degrees]
    log(T) range: 70 values from 3.75 to 8.70
    log(R) range: 19 values from -8.0 to +1.0

 NOTE: Tables are NOT rectangular
       values=9.999 or blanks are out of table range

                                              log R

logT  -8.0   -7.5   -7.0   -6.5   -6.0   -5.5   -5.0   -4.5   -4.0   -3.5   -3.0   -2.5   -2.0   -1.5   -1.0   -0.5    0.0    0.5    1.0
 
5.20  9.999 -0.062 -0.005  0.062  0.141  0.237  0.369  0.554  0.806  1.134  1.531  1.972  2.431  2.868  3.240  3.554  3.827  4.054  4.225
5.25  9.999 -0.079 -0.006  0.077  0.178  0.305  0.462  0.654  0.892  1.189  1.557  1.975  2.407  2.811  3.143  3.418  3.672  3.901  4.077
5.30  9.999 -0.156 -0.060  0.046  0.164  0.309  0.492  0.706  0.947  1.231  1.572  1.965  2.374  2.744  3.040  3.284  3.522  3.749  3.932
5.35  9.999 -0.249 -0.163 -0.047  0.096  0.264  0.464  0.700  0.961  1.244  1.566  1.937  2.324  2.668  2.936  3.157  3.381  3.601  3.798
5.40  9.999 -0.331 -0.262 -0.164 -0.029  0.155  0.383  0.643  0.928  1.228  1.547  1.895  2.260  2.585  2.834  3.039  3.251  3.464  9.999
5.45  9.999 -0.387 -0.342 -0.267 -0.150  0.016  0.245  0.531  0.848  1.176  1.510  1.849  2.192  2.500  2.737  2.931  3.131  3.341  9.999
5.50  9.999 -0.414 -0.389 -0.342 -0.257 -0.116  0.095  0.383  0.733  1.099  1.456  1.800  2.129  2.420  2.645  2.831  3.024  3.230  9.999
5.55  9.999 -0.428 -0.413 -0.384 -0.328 -0.224 -0.041  0.236  0.600  1.003  1.392  1.746  2.070  2.348  2.560  2.740  2.928  9.999  9.999
5.60  9.999 -0.433 -0.425 -0.407 -0.370 -0.295 -0.151  0.100  0.469  0.900  1.322  1.692  2.013  2.281  2.485  2.660  2.844  9.999  9.999
5.65  9.999 -0.436 -0.430 -0.418 -0.394 -0.341 -0.231 -0.016  0.339  0.794  1.246  1.637  1.958  2.218  2.417  2.590  2.767  9.999  9.999
5.70  9.999 -0.437 -0.432 -0.423 -0.405 -0.367 -0.286 -0.110  0.215  0.678  1.164  1.577  1.904  2.159  2.354  2.528  9.999  9.999  9.999
5.75  9.999 -0.439 -0.434 -0.427 -0.412 -0.383 -0.319 -0.181  0.099  0.548  1.064  1.507  1.845  2.100  2.296  2.470  9.999  9.999  9.999
5.80  9.999 -0.439 -0.436 -0.428 -0.415 -0.391 -0.338 -0.224  0.012  0.426  0.948  1.423  1.778  2.038  2.240  2.419  9.999  9.999  9.999
5.85  9.999 -0.439 -0.436 -0.430 -0.417 -0.395 -0.349 -0.251 -0.048  0.323  0.833  1.329  1.705  1.975  2.184  2.372  9.999  9.999  9.999
5.90  9.999 -0.438 -0.436 -0.430 -0.419 -0.398 -0.355 -0.266 -0.086  0.245  0.731  1.234  1.631  1.913  2.131  2.325  9.999  9.999  9.999
5.95  9.999 -0.437 -0.434 -0.429 -0.419 -0.399 -0.359 -0.276 -0.110  0.192  0.646  1.147  1.560  1.857  2.085  2.288  9.999  9.999  9.999
6.00  9.999 -0.434 -0.430 -0.425 -0.415 -0.397 -0.359 -0.281 -0.125  0.157  0.583  1.071  1.494  1.808  2.048  2.256  9.999  9.999  9.999
6.10  9.999 -0.434 -0.426 -0.415 -0.401 -0.381 -0.346 -0.278 -0.138  0.120  0.506  0.961  1.388  1.728  1.988  2.187  9.999  9.999  9.999
6.20  9.999 -0.441 -0.436 -0.425 -0.403 -0.370 -0.323 -0.250 -0.125  0.105  0.467  0.900  1.316  1.658  1.902  2.081  9.999  9.999  9.999
6.30  9.999 -0.444 -0.443 -0.438 -0.427 -0.400 -0.343 -0.243 -0.093  0.131  0.460  0.867  1.257  1.562  1.761  1.915  9.999  9.999  9.999
6.40  9.999 -0.445 -0.444 -0.442 -0.437 -0.424 -0.391 -0.306 -0.130  0.140  0.475  0.843  1.178  1.419  1.581  1.718  9.999  9.999  9.999
6.50  9.999 -0.446 -0.446 -0.444 -0.441 -0.432 -0.411 -0.357 -0.223  0.046  0.407  0.757  1.037  1.235  1.375  1.558  9.999  9.999  9.999
6.60  9.999 -0.447 -0.447 -0.446 -0.443 -0.438 -0.422 -0.382 -0.283 -0.075  0.252  0.586  0.843  1.024  1.174  1.377  9.999  9.999  9.999
6.70  9.999 -0.448 -0.448 -0.447 -0.445 -0.442 -0.431 -0.401 -0.326 -0.165  0.101  0.395  0.633  0.809  0.974  1.207  9.999  9.999  9.999
6.80  9.999 -0.449 -0.449 -0.448 -0.447 -0.444 -0.437 -0.416 -0.361 -0.240 -0.033  0.214  0.429  0.607  0.794  1.045  9.999  9.999  9.999
6.90  9.999 -0.450 -0.450 -0.449 -0.447 -0.445 -0.440 -0.425 -0.386 -0.298 -0.141  0.059  0.254  0.441  0.650  0.939  9.999  9.999  9.999
7.00  9.999 -0.452 -0.452 -0.451 -0.449 -0.446 -0.439 -0.426 -0.396 -0.330 -0.211 -0.048  0.132  0.322  0.548  0.830  9.999  9.999  9.999
7.10  9.999 -0.454 -0.454 -0.453 -0.452 -0.449 -0.442 -0.426 -0.394 -0.336 -0.238 -0.101  0.062  0.240  0.455  0.723  9.999  9.999  9.999
7.20  9.999 -0.456 -0.456 -0.456 -0.455 -0.453 -0.447 -0.433 -0.399 -0.338 -0.245 -0.124  0.012  0.161  0.358  0.604  9.999  9.999  9.999
7.30  9.999 -0.459 -0.459 -0.459 -0.458 -0.457 -0.453 -0.442 -0.415 -0.358 -0.269 -0.160 -0.050  0.074  0.248  0.485  9.999  9.999  9.999
7.40  9.999 -0.462 -0.462 -0.462 -0.462 -0.461 -0.459 -0.451 -0.432 -0.389 -0.314 -0.221 -0.128 -0.019  0.142  0.381  9.999  9.999  9.999
7.50  9.999 -0.467 -0.467 -0.467 -0.467 -0.466 -0.464 -0.459 -0.446 -0.416 -0.362 -0.288 -0.206 -0.107  0.047  0.302  9.999  9.999  9.999
7.60  9.999 -0.472 -0.472 -0.472 -0.472 -0.472 -0.470 -0.467 -0.458 -0.437 -0.399 -0.343 -0.273 -0.184 -0.033  0.206  9.999  9.999  9.999
7.70  9.999 -0.479 -0.479 -0.479 -0.479 -0.478 -0.478 -0.475 -0.469 -0.454 -0.427 -0.385 -0.331 -0.249 -0.139  0.159  9.999  9.999  9.999
7.80  9.999 -0.487 -0.487 -0.487 -0.487 -0.487 -0.486 -0.484 -0.479 -0.469 -0.450 -0.421 -0.379 -0.330 -0.184  0.141  9.999  9.999  9.999
7.90  9.999 -0.497 -0.497 -0.497 -0.497 -0.497 -0.496 -0.495 -0.492 -0.484 -0.472 -0.454 -0.433 -0.395 -0.263  0.074  9.999  9.999  9.999
8.00  9.999 -0.510 -0.510 -0.509 -0.510 -0.509 -0.509 -0.508 -0.506 -0.502 -0.494 -0.492 -0.480 -0.513 -0.307  0.062  9.999  9.999  9.999
8.10  9.999  9.999  9.999  9.999  9.999  9.999  9.999  9.999  9.999  9.999  9.999  9.999  9.999  9.999  9.999  9.999  9.999  9.999  9.999
8.30  9.999  9.999  9.999  9.999  9.999  9.999  9.999  9.999  9.999  9.999  9.999  9.999  9.999  9.999  9.999  9.999  9.999  9.999  9.999
8.50  9.999  9.999  9.999  9.999  9.999  9.999  9.999  9.999  9.999  9.999  9.999  9.999  9.999  9.999  9.999  9.999  9.999  9.999  9.999
8.70  9.999  9.999  9.999  9.999  9.999  9.999  9.999  9.999  9.999  9.999  9.999  9.999  9.999  9.999  9.999  9.999  9.999  9.999  9.999
 
